timestamp, device, port, bytesReceived, bytesSent
2022-10-20T16:04:58.563702,of:0000000000000004,2,0,278
2022-10-20T16:04:58.563706,of:0000000000000004,3,278,278
2022-10-20T16:04:58.563712,of:0000000000000001,1,278,278
2022-10-20T16:04:58.563716,of:0000000000000001,2,278,278
2022-10-20T16:04:58.563722,of:0000000000000002,1,278,278
2022-10-20T16:04:58.563726,of:0000000000000002,2,278,278
2022-10-20T16:04:58.563730,of:0000000000000002,3,278,278
2022-10-20T16:04:58.563736,of:0000000000000007,1,0,278
2022-10-20T16:04:58.563740,of:0000000000000007,2,0,278
2022-10-20T16:04:58.563744,of:0000000000000007,3,278,278
2022-10-20T16:04:58.563750,of:0000000000000005,1,278,278
2022-10-20T16:04:58.563753,of:0000000000000005,2,278,278
2022-10-20T16:04:58.563758,of:0000000000000005,3,278,278
2022-10-20T16:04:58.563764,of:0000000000000006,1,0,278
2022-10-20T16:04:58.563768,of:0000000000000006,2,0,278
2022-10-20T16:04:58.563772,of:0000000000000006,3,278,278
2022-10-20T16:04:59.564297,of:0000000000000003,1,0,278
2022-10-20T16:04:59.564386,of:0000000000000003,2,0,278
2022-10-20T16:04:59.564400,of:0000000000000003,3,278,278
2022-10-20T16:04:59.564419,of:0000000000000004,1,0,278
2022-10-20T16:04:59.564447,of:0000000000000004,2,0,278
2022-10-20T16:04:59.564457,of:0000000000000004,3,278,278
2022-10-20T16:04:59.564472,of:0000000000000001,1,278,278
